100836****,上海静安香格里拉大酒店,朋友出游,尊雅大床房,2020-04,2020-04-19,5.0,静安香格里拉还是没得说的，视野非常好，房间也大，一个客厅一个卧室，浴室双台盆还配电视机卫浴用品都是欧舒丹的，就是外墙玻璃有点脏
201680****,上海静安香格里拉大酒店,其他,豪华阁尊荣双床房,2020-03,2020-03-25,5.0,酒店地理位置优越，房间宽敞明亮，晚上窗外的夜景很美丽，特别是卫生间布局合理，因为我此次订的是豪华阁，房间62平方，入住时在56楼豪华阁办理，两位可爱的姑娘为我们提供全方位的服务，我特地记下了她们的名字Coco和Nancy，点赞一下
_WeChat327440****,上海静安香格里拉大酒店,独自旅行,尊雅大床房,2019-12,2020-01-08,4.8,"[房间设施]蠻喜歡房間內的裝飾的～洗面台的屋子裡有底暖～很舒服[强]
洗手間的坐墊不是熱熱那種⋯⋯有一點點可惜的

[性价比]還可以
[wifi]蠻順暢的
[房间景观]很不錯～時也很開闊
[游泳池]不是很長、但乾乾淨淨、蠻舒服的

[服务]客房服務很不錯、感覺到了細心
前台的有一點點態度讓人不舒服、雖然很多需要按照規章制度去做事情、但是說話方式和態度還是很重要的、畢竟前台算是酒店的臉面的

不過是因人而異、有幾位服務人員還是很讓人舒心的。

同樣的問題、不一樣的回答方式也許會讓人舒服很多的。"
L1ll1an,上海静安香格里拉大酒店,情侣出游,尊雅大床房,2019-12,2019-12-16,3.5,位置很好，就在静安寺8口一出就是酒店，市中心地带，周边全是商场。这个酒店像是写字楼改建的，大堂感受不到5星级饭店的装修，房间偏小，更好笑的是一个人和两个人住价格差很多，但房间大小却是一样的，设施还好吧，但是却连个暖气都没有，最不喜欢就是服务，我中午去跟我说房间没好，我就寄存行李，傍晚回来拿房间，那个前台说会交代好，谁知晚上回来拿房卡，换了一个人，什么都不知道，我又从头跟他们说一遍，住了这么多没遇到过，而且笑容也没怎么有的酒店。
长沙帅宝,上海静安香格里拉大酒店,商务出差,尊雅双床房,2019-12,2020-01-29,5.0,跟朋友一起出差，周边环境吃饭的地方挺多，酒店客人健身地方挺好，只是我跟我弟弟身材，颜值高，下去健身别人以为我们来砸场子的，哈哈
canchenma,上海静安香格里拉大酒店,独自旅行,尊雅大床房,2019-10,2019-10-09,5.0,"我也不知道我一个自己出来玩儿的为啥订这么高级的酒店，还升级行政套房，这要是习惯了可咋整
没有花钱的不是，房间是套间，吧台有胶囊咖啡机，每天六个三种口味的胶囊，有几种茶，可惜我只喝咖啡不喝茶
房间的灯光设计的很好，不会特别刺眼，开关操作也很方便
浴室是干湿分开的，洗护用品都是欧舒丹的，好好闻
早餐摆出来的虽然不多，但可以点单，关键是人少，用餐环境极佳"
fabian_ye,上海静安香格里拉大酒店,家庭亲子,豪华阁尊荣双床房,2019-10,2019-10-05,5.0,非常好的酒店。这次订的高级很多，是个套房。吃早餐地方有三个地方都可以吃。一楼是最丰富的，大家都在一楼。三楼也可以。五十五楼贵宾都能吃的。位置相当优越。在富裕的静安区。酒店连接着嘉里中心。旁边还有芮欧百货。嘉里中心地下一层有个小书店，而在芮欧百货的四楼则有上海闻名的钟书阁。芮欧的四楼有小朋友绘画和好几样手工制作的东西，适合带孩子去。嘉里中心和芮欧百货都有很多美食。问题在于价格不是很亲民，很多都有些贵，人均都要两三百。这次一家人来住，免费加了床，向酒店要了小朋友的拖鞋和牙刷牙膏。酒店很慷慨，每天都很多瓶矿泉水补充给我们带来了，还有每天的水果。离开酒店的时候，可以延迟到下午三点。这次入住的体验真的不错，感觉相当的棒。
M257729****,上海静安香格里拉大酒店,商务出差,尊雅大床房,2020-04,2020-04-13,2.5,豪华阁的coco，TM的只会骗客人好评，不懂服务的一个垃圾，还有其酒店服务，是我住过五星中最差的了！没有一点人性化可言！不想我们住可以，此处不留爷自有留爷处！
Leeeeeo_,上海静安香格里拉大酒店,情侣出游,尊雅大床房,2019-12,2020-01-04,5.0,酒店干净，设施齐全，就是办理check in人很多，等了20多分钟才完成，有一点不太满意客房提供的竟然是冰露？作为一家五星级酒店这个不敢恭维，总体挺好
雅米朵,上海静安香格里拉大酒店,家庭亲子,豪华阁尊荣双床房,2019-10,2019-10-12,4.8,位置很好，适合逛街，周边的商场很多，特意在网上订的这个房型，本来是想要高一点的楼层，但国庆入住，火爆得很，前台告诉我们要的这个朝向（可以看到明珠塔）和这个房型就只有最低的30楼层，等了两个多小时终于得到房间，期间还不停地去催促前台才得的，还好可以享受行政楼层待遇，可以在55楼喝点咖啡饮料等待，不然带着小孩，要在外面逛两个小时等房间那就可想而知了。房间的风景也还不错，就没有再去要求了，住了三个晚上，天气很好，坐在沙发看着外面的风景发个呆也很惬意。不过，还是像很多人感受到的一样，办理入住的前台工作人员服务意识真的还有待加强，感觉不到一点真诚，每次去行政酒廊，有时突然会打个招呼，又很生硬，真还会被吓一跳，但是客房服务和餐厅的厨师们服务态度和意识很好哟，也很热心。早餐这些每家五星酒店应该都差不多吧。
